IN,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
4076,1.963231105,6.1,1.04,0.28,4.5,0.48,46,150,1.01904,3.43,1.06,8.1,0,1.945910149,1
4077,3.168433948,-3.6,0.25,0.23,16.8,0.047,20,77,1.02693,3.32,0.2,6.3,-1,1.791759469,2
4079,1.076936083,10.6,0.94,1.75,2.3,0.078,6,20,0.99676,3.14,0.72,17.8,0,2.48490665,1
4081,3.40051701,17.2,0.21,0.27,18.15,-0.321,91,158,0.9303,3.29,3.55,6.8,0,1.945910149,2
4088,3.340192397,6.8,0.24,0.33,17.3,0.049,68,216,0.99324,3.1,1.91,7.7,0,1.945910149,2
4105,2.527315333,1.9,0.26,-0.25,13.6,0.05,-189,278,0.9921,2.14,-1.32,15.3,1,2.079441542,1
4125,3.293677626,-3.3,0.72,0.3,4.7,0.041,40,148,0.9932,3.16,1.6,10.2,0,1.945910149,2
4134,2.791119016,6.5,0.22,0.4,-15.3,-0.371,-19,-514,1.04479,3.72,0.49,10.6,-1,1.945910149,2
4139,1.258603791,8.9,1.63,0.5,39.9,0.067,25,57,0.99557,3.24,1.36,9.8,0,2.302585093,1
4146,1.411975355,7.2,0.32,0.4,10.8,0.038,45,-173,1.02723,3.2,0.83,12.3,-1,2.079441542,1
4149,4.558087691,6.8,0.48,-0.16,3.4,0.035,35,477,0.97064,2.39,0.47,1,0,1.945910149,3
4151,3.626604974,-0.3,2.66,0.5,2.7,0.122,4,194,1.0006,4.03,0.7,19,1,2.48490665,3
4155,2.079610627,6.8,1.05,0.41,19.9,0.402,59,143,0.99693,3.2,0.4,11.8,0,1.945910149,1
4157,1.993807774,9,0.26,0.34,6.7,0.029,311,-47,0.99497,2.71,0.5,10,1,2.302585093,1
4168,5.001056477,6.5,0.37,0.38,71.6,0.027,65,237,0.98926,3.24,0.75,10.1,1,1.945910149,3
4170,1.490866699,8.7,1.165,0.49,13,-0.305,44,214,0.96844,3.71,0.5,9.7,-1,2.079441542,1
4174,1.938799637,5.5,0.66,0.22,67.9,-0.22,10,-112,1.02752,3.46,0.44,5.9,-1,1.791759469,1
4179,4.970143078,6,0.27,-0.92,3.6,0.035,167,133,0.99215,3.6,1.76,10.8,1,1.945910149,3
4185,4.332004931,16.2,-0.85,0.77,14.2,-0.726,-163,212.5,0.999,3.14,3.73,3.6,0,2.079441542,3
4199,1.397647758,10.3,-2.52,0.47,1.3,0.039,241,123,0.9959,2.9,0.64,3.1,-1,2.302585093,1
4205,3.311958644,6.4,0.69,-0.53,-58.35,0.055,7,12,0.99162,3.47,0.53,12.9,0,1.945910149,2
4208,2.537515327,-0.3,-0.37,1.32,20.15,0.06,30,22,0.9732,1.32,0.44,10,1,2.079441542,1
4211,2.276126187,6.5,1.43,0.25,-27.1,0.238,15,110,1.01942,3.15,0.42,9.2,-2,1.945910149,2
4212,0.455292124,11.6,0.41,0.54,39.7,0.057,22,-2,0.96011,3.32,0.76,6.9,-1,2.564949357,1
4215,2.547421052,2.9,0.21,-1.29,-46.8,0.047,60,189,1.00344,2.84,0.98,10.1,0,1.791759469,1
4217,2.934064259,-13.9,0.33,0.3,29.7,0.138,35,147,1.0133,3.24,0.56,13.4,-1,1.945910149,2
4219,3.491485353,6.7,0.17,-0.09,-36.5,0.032,39,423,0.99337,2.73,0.52,10.5,0,1.945910149,2
4226,4.084723496,8.9,0.66,1.04,5,0.04,18,-374,1.01741,3.06,0.48,10.6,0,2.079441542,3
4227,3.066382665,6.5,0.18,0.41,14.2,0.039,37,129,0.89474,3.28,0.46,10.3,-1,1.945910149,2
4229,4.293756693,7.7,0.91,0.45,-42.7,-0.505,52,205,1.01743,2.62,-2.93,11.3,-1,1.945910149,3
4231,1.2830167,14.3,1.24,0.58,-60.1,-0.075,160,238,0.9978,4.06,-0.79,11,0,2.397895273,1
4233,2.969512619,6,0.26,2.05,2.2,0.048,-155,171,0.88975,2.52,0.61,4.2,-1,1.945910149,2
4237,1.596962408,0.2,0.41,-0.54,34.9,0.597,19,-710,1.01168,3.25,0.53,10.4,0,2.079441542,1
4243,3.566348818,13,0.26,-0.61,4.6,0.027,29,92,0.99085,3.15,-0.19,9.5,1,2.079441542,2
4248,4.672312709,15.7,0.31,0.34,61.8,0.037,45,463,1.00997,3.95,-1.19,13.2,0,1.945910149,3
4255,5.115401592,2.2,0.9,-0.75,52.5,-0.521,33,67,0.98924,3.21,-0.17,17.9,1,1.945910149,3
4262,1.894812338,4.9,0.25,0.41,46.5,0.043,126,497,0.96821,3.15,1.46,10.2,-1,1.945910149,1
4266,3.807709695,6.8,0.67,-0.55,-50.5,0.418,302,193,0.9984,3.08,0.67,11,-1,2.079441542,3
4268,2.583876071,7,0.25,1.31,57.2,-0.331,25,94,1.02959,4.57,1.4,9.2,1,1.945910149,1
4270,1.788852008,-2.7,-1.52,0.55,-40,0.402,-120,85,0.95296,2.93,-1.15,15.4,-1,2.079441542,1
4273,3.900916461,-4.3,0.06,0.32,42.6,0.052,284,118,0.99657,3.18,0.15,7.9,1,1.945910149,2
4276,3.477886262,16.9,-0.18,0.35,6.7,0.039,202,-33,1.00013,1.68,0.81,15.1,1,2.197224577,2
4277,3.20281695,18.5,0.75,0.01,58.1,0.657,119,228,0.9955,3.55,2.12,12.8,0,1.945910149,2
4279,1.23050164,11.7,0.35,0.48,24.3,0.88,-258,44,0.99534,4.21,0.2,13,-1,2.079441542,1
4299,3.440468813,5.6,0.3,0.04,64.2,0.551,-36,-769,0.9906,3.28,-0.99,12.7,0,1.791759469,2
4313,2.438525585,7.8,0.15,1.18,38.4,0.518,204,93,0.96408,1.94,0.72,11.3,1,2.079441542,1
4322,4.278684228,6.2,0.36,1.24,-32.4,0.4,20,-549,0.99711,3.31,0.56,9.5,0,1.945910149,3
4324,3.335289855,13,0.23,0.25,17.3,0.182,30,110,0.99828,2.82,1,9.2,0,1.945910149,2
4328,2.478156086,8.2,-0.31,1.07,-21.4,0.04,41,92,1.04165,2.26,0.6,9.7,-1,2.197224577,2
4331,2.110717054,6.6,0.34,0.27,29.2,0.059,23,136,0.9957,3.59,1.14,5.4,0,1.945910149,1
4335,1.279348189,8.2,1.1,0.09,-7,-0.617,7,37,0.99685,3.32,0.55,12.2,-1,2.197224577,1
4337,3.060638338,7.4,0.26,0.31,7.35,0.034,37,485,0.9938,2.27,0.31,15,0,2.197224577,2
4338,2.570470925,6.9,0.58,1.94,43.8,0.493,121,104,0.99317,2.99,0.39,9.5,-1,2.079441542,2
4343,0.878357916,9.9,0.35,-0.53,-24.4,0.083,11,188,0.9982,3.21,0.5,12.8,-1,2.397895273,1
4347,0.876516389,11,1.7,0.3,8.4,0.051,40,250,0.98562,4.26,0.62,9.7,-2,2.079441542,1
4355,3.211611042,-5.4,1.02,-0.48,15.8,0.302,-124,167,0.95975,3.52,0.51,9.2,0,1.945910149,2
4357,1.61957111,5.3,0.85,0.29,-44.4,0.423,40,55,0.9908,2.91,0.32,14.8,0,2.197224577,1
4359,6.23832945,6.6,0.44,-0.53,7.5,-0.491,13,152,1.07328,3.1,0.63,18.9,1,1.945910149,4
4362,1.311084392,-7.8,0.26,3.06,27.2,0.044,-166,405,0.9924,3.31,1.43,9.8,-2,1.945910149,1
4368,1.984237972,7.3,-0.4,0.4,44.6,0.046,45,518,0.99583,3.23,0.92,13.7,-1,1.945910149,1
4374,4.936932177,2.9,1.46,0.37,32.9,-0.422,110,105,0.98964,3.69,0.83,12.4,1,1.945910149,3
4375,4.992735872,2.5,-0.37,0.55,1.1,0.053,303,335,0.97421,2.93,0.44,13.6,1,2.079441542,3
4378,2.941726455,7,0.61,0.51,1.7,0.051,-370,473,0.9946,3.24,1.04,4.4,0,2.079441542,2
4381,4.893567899,5.9,0.18,1.91,-51.6,-0.272,119,-260,0.99159,2.43,0.38,9.5,0,1.791759469,3
4387,3.499435311,14.5,0.31,0.42,6.9,0.671,50,481,0.99551,3.1,0.46,9,1,2.079441542,2
4400,1.352326227,5,0.22,-1.33,30.6,-0.097,-73,185,0.9933,3.03,0.41,14.9,-1,2.197224577,1
4423,3.216217725,2.6,0.54,0.28,7.5,0.077,11,-145,0.9978,2.46,0.61,10,1,2.197224577,2
4424,2.0118881,-0.3,0.31,3.14,44.1,0.121,15,87,0.99152,3.11,-1.14,13,0,2.079441542,1
4428,4.373359049,6.9,0.82,0.52,5,-0.199,52,497,0.9657,3.55,-0.01,9.6,0,2.079441542,3
4433,6.003001056,-4.6,-1.02,0.3,-30.9,0.047,36,336,0.98015,3.26,-0.61,10.4,2,1.791759469,3
4436,2.027884135,13.6,-0.61,0.29,-46.8,0.262,154,-252,1.02909,4.28,2.17,15.8,-1,1.791759469,1
4437,3.101661224,6.4,0.55,0.32,0.95,0.047,-275,-202,1.01733,4.03,0.6,9.2,0,1.945910149,2
4439,6.282344954,5.5,0.48,0.28,61.4,-0.166,31,126,1.02659,2.46,-1.19,16.2,1,1.945910149,4
4449,3.241480491,7.1,0.44,0.27,28.4,0.007,252,223,0.99257,3.78,0.36,16.8,0,2.079441542,2
4456,2.976979238,20.7,1.11,0.74,12.5,0.037,37,-51,1.01617,3.04,0.97,14.5,0,2.079441542,2
4463,5.690295184,9.5,0.13,-1.19,5.4,-0.219,15,118,0.9954,3.27,0.34,9.6,1,2.197224577,4
4467,1.635080161,16.3,0.26,-1.5,-61.1,0.041,258,439,0.98978,2.22,2.18,10.2,-1,2.079441542,1
4468,3.512432258,5.1,0.06,-2.41,11.6,0.243,40,78,1.02412,4.04,0.64,2.5,0,1.791759469,2
4469,1.891695883,7.5,0.33,0.36,2.6,0.25,-16,45,0.99097,3.32,0.53,12.7,0,2.079441542,1
4472,3.648379784,6.9,-1.15,-1.05,-46.5,0.042,36,450,0.94333,2.14,0.69,2.8,0,1.945910149,2
4473,4.595996017,5.7,1.54,-0.97,6.3,0.043,28,113,0.9936,3.06,2.02,6.3,0,1.791759469,3
4476,1.990818792,6.5,0.47,0.41,72.3,-0.007,200,-290,1.04822,5,0.72,8.3,0,1.945910149,1
4500,2.150028688,6,-2.44,-0.86,3.6,0.083,36,133,0.94806,3.27,1.19,10.8,-1,1.945910149,1
4509,4.098690546,3,-1.19,0.3,-21.5,-0.529,247,105,0.98963,2.78,0.58,12.75,0,1.791759469,2
4513,1.466596971,7.7,0.27,1.3,-29.5,-0.549,341,179,1.01141,3.48,-0.07,8.9,-1,2.197224577,1
4521,5.433403433,0.8,2.035,-0.41,-88.3,0.045,-11,-36,1.00563,4.31,0.54,15.8,0,1.945910149,4
4527,1.906438129,16.7,0.23,0.29,2.6,-0.135,-173,98,1.02264,1.85,3.55,16.8,0,2.079441542,1
4530,0.892936579,8,1.12,-0.65,-54.1,-0.53,257,-194,0.99002,2.35,0.45,12.4,-2,2.197224577,1
4532,2.283799131,0.5,2.02,0.74,38.7,-0.633,61,182,0.9953,2.97,1.73,10.5,1,2.079441542,1
4533,2.566205981,0.5,0.2,0.34,-62.8,0.049,-118,-9,0.9922,2.07,1.88,7.2,-1,2.079441542,2
4535,1.954940884,9.8,0.14,0.81,-53.4,-0.21,75,189,0.98962,2.82,-2.8,4.7,-1,1.945910149,1
4536,3.772403729,11.3,0.36,0.9,2.4,0.123,-272,-335,1.02078,3.21,-2.18,14,1,2.48490665,3
4542,3.120868149,20.8,0.34,0.44,-1.8,-0.664,47,126,0.99124,2.96,0.37,18.8,0,2.197224577,2
4551,1.54362298,6.2,0.21,0.26,9.25,0.539,-455,311,0.9945,3.05,0.37,11.4,0,2.197224577,1
4554,3.339431199,8.6,0.22,1.01,12.05,0.058,18,125,1.01076,4.3,-0.35,9.4,0,1.945910149,2
4555,1.22630029,7.1,-0.5,0.67,2,0.598,152,128,0.9917,3.19,-1.21,15.8,-2,2.079441542,1
4564,2.774344871,1.9,2.765,-1.29,-2,0.502,6,172,0.99113,3.4,0.59,17,0,2.079441542,2
4572,1.384495193,7,2.09,0.08,-12.8,-0.249,10,129,0.96855,2.52,0.47,10,-1,2.079441542,1
4573,5.999548025,26.3,0.31,-1.33,-62.3,0.545,-60,182,0.99795,2.95,0.39,13.4,2,2.197224577,4
4577,1.788955834,6.9,0.34,-0.92,-54.8,-0.32,19,149,0.9925,3.54,1.88,10.8,-1,1.945910149,1
4579,5.560035669,15.2,0.64,1.11,-28.3,0.44,57,92,0.94485,3.16,1.76,11.3,1,1.609437912,3
4583,2.752227709,8.1,0.2,0.28,23.5,0.034,-180,31,0.99062,3.25,0.36,5.7,0,2.197224577,2
4584,5.983572977,6.3,0.23,0.87,26.8,0.427,-105,482,1.03666,4.36,1.95,11.4,1,1.945910149,4
4596,2.95815026,-4.5,0.325,0.49,60.9,0.049,53,217,0.996,3.16,0.4,9.5,-1,1.945910149,2
4599,3.743325713,5.7,0.1,0.34,26.3,0.135,251,100,0.99689,3.27,0.46,9.5,0,1.791759469,2
4607,3.348734004,6.2,0.35,-1.24,18.1,0.069,33,158,0.96028,4.34,0.5,8.8,0,1.945910149,2
4609,0.551553687,11.7,1.2,1.74,-21.7,0.09,20,47,0.99734,3.34,0.64,12.8,-1,2.48490665,1
4610,4.347347134,7.2,0.16,0.74,12.5,-0.268,47,161,0.9981,3.04,0.44,8.7,0,2.079441542,3
4616,1.448227534,13.3,-1.17,-0.29,18.15,0.785,41,91,0.89928,3.3,0.76,8.7,-2,1.945910149,1
4617,2.129808677,17.6,0.425,1.49,13.1,-0.459,-163,241,1.04149,3.88,-0.16,2.9,0,1.945910149,1
4633,4.569188288,0.2,1.54,1.25,12.4,0.114,234,155,0.90324,3.33,0.48,13.7,0,1.945910149,3
4638,3.052365135,7.8,0.25,0.41,3.7,0.042,-89,371,0.9954,3.36,1.86,8,0,2.079441542,2
4641,2.153299555,6.9,-0.62,0.89,70.35,0.003,257,189,0.99784,2.8,1.2,11.7,0,2.079441542,1
4653,6.350251568,7.3,1.1,0.42,54.4,-0.388,288,325,0.9996,3.29,1.57,9.1,2,2.079441542,4
4655,4.411453821,6.7,1.05,0.39,70.1,-0.023,64,40,0.99562,3.89,0.38,9.4,0,1.945910149,3
4659,3.688996094,7.9,-0.66,-1.52,2.3,0.474,63,86,0.92984,3.53,0.57,14.9,1,2.079441542,2
4669,1.482344675,15.5,-0.25,0.56,2,0.056,20,124,0.9948,3.6,0.49,4,-1,2.079441542,1
4678,1.809674578,7,0.69,0.07,19,0.091,15,-125,0.99572,3.38,-1.1,4.9,0,2.079441542,1
4685,3.457448803,7,0.6,-1.12,-27.8,0.447,28,160,0.9954,2.49,0.46,9.8,1,2.079441542,2
4686,2.860694608,8.2,0.23,-2.78,1.3,0.066,267,-220,0.99141,2.99,0.36,9,0,2.197224577,2
4691,1.395906494,30.4,0.2,0.37,16.95,0.048,-220,190,0.9995,3.7,0.42,6.7,-1,2.079441542,1
4695,3.865744256,-1.4,0.4,1.73,3.2,-0.224,47,140,0.94199,4.53,0.51,10.2,1,1.945910149,2
4698,3.316509469,7.3,0.19,-0.38,124.8,0.057,617,51,0.99807,2.94,-1.63,6.7,0,2.079441542,2
4700,5.80319447,5.7,1.25,0.28,4.7,0.027,-221,-71,0.98948,3.33,0.45,12.5,0,1.791759469,4
4711,3.238607993,5.5,-0.2,0.09,40.5,0.15,18,370,1.00358,4.2,0.51,5,-1,1.791759469,2
4722,4.193717804,-0.9,0.22,0.44,61.7,0.423,-105,422,0.94593,3.45,1.46,6,0,2.079441542,3
4727,4.169121723,6.4,-0.13,1.15,-45.3,-0.59,31,-113,1.03165,3.54,0.51,10.3,-1,1.945910149,3
4756,6.177610142,6.5,0.33,-0.49,-27.9,0.036,110,88,1.01111,3.25,0.69,15,1,1.945910149,4
4762,1.561971369,7.1,-0.16,0.38,-29.3,0.043,34,337,1.01429,3.23,0.38,8.5,0,2.302585093,1
4763,2.621513112,27.1,3.18,0.78,6.4,0.094,7,200,0.99805,3.19,-0.61,11.2,-1,1.945910149,2
4766,5.060701422,8.2,0.79,0.51,-37.7,0.073,16,47,0.99594,3.4,1.61,11.3,0,2.197224577,4
4770,3.918255684,0.4,1.93,1.03,1.9,-0.509,86,38,0.99518,2.91,0.85,9.8,0,2.197224577,3
4784,4.148256023,6.1,-0.89,0.24,1.5,0.511,38,124,1.00477,3.94,0.42,12.4,-1,1.945910149,3
4791,2.418683084,7.7,-1.04,0.3,24.4,0.407,25,-197,0.9951,2.97,0.47,10.9,1,2.079441542,1
4795,4.935452817,6.5,1.08,0.24,-8.35,-0.112,25,131,0.99565,1.96,0.51,8.4,1,1.945910149,3
4799,1.718240865,7.2,0.21,-1.24,14.5,-0.275,306,311,0.9982,3.05,-0.22,8.9,-1,2.079441542,1
4802,4.289458113,-2.6,0.23,0.29,1.6,0.043,24,415,1.03506,3.12,0.9,10.4,0,2.079441542,3
4805,3.089419041,6.8,0.52,0.74,68,0.088,23,185,0.9928,4.39,-0.39,12.2,0,2.079441542,2
4814,3.8089754,6.2,1.4,0.61,1,0.031,22,349,1.01801,3.24,-0.27,17.3,1,1.945910149,2
4816,1.75855968,8,0.67,-2.17,5.1,0.1,5,369,1.01598,3.37,-0.91,13.8,0,2.197224577,1
4817,3.478535462,6.9,0.07,0.38,8.1,-0.143,44,295,0.9958,3.26,0.49,9.8,0,1.945910149,2
4822,2.414056631,-0.4,0.235,1.84,11.75,0.03,-198,118,1.02852,3.04,0.9,9.4,0,1.791759469,1
4827,1.784331095,6.8,0.14,0.35,1.5,0.24,233,-159,0.99111,1.93,-0.06,6.6,-1,1.945910149,1
4833,5.3135219,6.3,0.25,0.3,-22.4,-0.014,-138,122,0.994,2.25,0.61,-0.2,0,2.079441542,4
4836,4.427204884,10.6,0.705,0.72,35.3,0.417,-10,-287,0.9964,3,1.59,9.5,1,2.079441542,3
4842,2.150560508,-2.6,0.12,1.21,0.1,0.398,27,122,1.04149,3.29,0.41,13.5,0,1.945910149,1
4844,2.217329022,7,0.13,-0.78,6.7,0.056,161,319,1.00696,4.73,-0.68,4.2,0,1.945910149,1
4845,2.150666446,1.2,0.7,0.29,5,0.028,-145,461,0.99076,2.39,0.88,15.3,-1,1.791759469,1
4849,4.379876361,7.6,-0.91,-0.76,-48.8,0.04,545,-322,0.9916,3.16,1.15,4.3,0,2.079441542,3
4850,4.495315546,6.5,0.93,0.33,29.3,0.042,50,-58,0.99695,2.48,-0.75,10.4,0,1.945910149,3
4860,4.663745516,6.5,0.18,-0.7,-3.5,-0.462,43,-17,1.02824,3.32,0.59,17.8,0,1.945910149,3
4863,1.720332524,8.9,0.57,0.26,-55.8,-0.081,-55,89,0.9959,2.27,-0.37,9.5,0,2.197224577,1
4871,3.490001743,6.2,-0.74,0.29,-17.3,0.047,45,220,0.96967,3.35,2.22,10,0,1.945910149,2
4878,3.011864426,7.8,0.645,1.41,5.5,0.086,6,30,0.98083,2.54,0.94,7,0,2.079441542,2
4881,1.862992399,-2.6,0.69,0.98,40.4,0.629,29,142,1.00886,4.19,0.33,-2.1,0,1.945910149,1
4888,2.902969124,14.9,-0.16,1.53,-49.4,-0.514,-261,101,0.9944,3.17,0.33,10.2,2,2.079441542,1
4900,5.891758251,8.6,0.23,-0.03,19.7,0.302,17,48,1.04258,4.43,0.53,9.7,2,2.197224577,4
4906,2.845390193,-2.2,0.3,-0.95,-48.5,-1.065,49,159,0.97125,3.11,0.48,4.2,1,1.945910149,1
4909,6.017757663,13.1,0.2,0.24,66.8,-0.07,-221,-78,1.00907,4,0.33,11,1,1.945910149,4
4916,3.462389651,1.4,0.2,0.32,1.6,0.11,174,-578,1.01384,3.37,-0.58,13.2,1,2.079441542,2
4918,5.486580359,7.9,1.29,1.85,-45.25,0.033,-231,100,0.99117,0.96,0.52,7.7,1,2.197224577,4
4926,2.327335601,6.9,0.23,1.48,15.5,0.001,178,146,0.9944,2.94,-0.66,9.7,0,1.945910149,1
4928,1.288473011,0.8,0.66,1.86,-34.5,0.339,-443,-242,0.99455,3.38,1.8,1.3,-1,1.945910149,1
4941,1.630964949,8.7,0.23,3.35,13.4,0.044,35,-111,0.99975,3.34,0.47,8.8,0,2.197224577,1
4946,5.094161202,10.5,-1.04,0.49,-54.7,0.115,297,118,0.98346,3.34,1.3,13.1,0,1.791759469,3
4949,2.184960283,6.8,0.26,1.4,18,-0.032,38,64,0.9939,3.42,1.2,10,0,1.945910149,1
4956,1.968921306,0.7,-0.09,-0.61,1.8,0.055,-87,110,0.9796,2.12,0.44,6.2,0,2.079441542,1
4966,4.260175177,7.4,0.27,1.08,27.4,0.415,25,324,1.00513,2.97,0.51,11.9,0,2.079441542,3
4969,1.828051845,9.9,-0.47,0.37,7.9,0.025,110,-207,1.03211,2.93,0.37,19.4,0,2.197224577,1
4973,3.503307616,6.3,0.34,-2.77,6.2,-0.208,81,227,0.95046,3.29,0.44,9.9,0,1.945910149,2
4978,4.636764561,-0.5,0.81,0.36,67.2,0.909,262,124,0.997,1.58,0.59,13.7,1,2.079441542,3
4982,2.343315757,5.4,0.37,0.76,4.2,-0.1,243,368,1.0004,2.19,-0.36,11.8,0,2.564949357,2
4985,3.804191537,13.7,0.26,-1.37,18.7,0.034,39,134,0.9949,3.33,0.03,7.3,1,1.945910149,2
4991,2.797078612,-4.7,0.305,0.9,1.75,0.173,17,-723,1.00612,2.22,1.63,17.23333333,1,1.791759469,1
4998,2.882392749,4.7,1.34,0.36,14.6,0.048,35,-419,0.9968,3.14,1.55,17.1,0,2.079441542,2
5000,1.823977958,6.8,0.11,-1.12,57.9,0.315,252,104,0.99454,3.2,0.37,11.3,-1,1.945910149,1
5004,2.626061403,9,-0.29,1.05,2.1,0.513,19,76,0.99001,2.62,1.67,12.1,0,2.302585093,2
5005,1.436928156,12.8,0.26,1.53,13.3,0.044,68,224,0.97179,3.18,3.89,9.5,-1,2.079441542,1
5011,3.603339696,7.3,0.38,0.23,11.7,-0.251,18,149,0.99304,3.1,0.67,11.2,1,2.079441542,2
5016,2.095203477,6.6,-0.74,0.65,2.6,0.087,13,-252,1.00913,4.18,0.65,11,0,2.564949357,2
5018,3.441034759,8.7,1.33,0.34,45.8,0.018,-91,372,0.99474,3.12,-1.95,-2.1,-1,2.197224577,3
5034,3.600612763,5.7,-0.91,-1.04,94.1,0.106,-194,155,0.9927,2,-0.18,16,0,1.945910149,2
5038,3.205417977,6.6,0.19,0.39,62,-0.189,177,63,0.99171,3.16,0.38,10.5,0,2.079441542,2
5042,5.547808624,21.3,1.335,0.06,49,0.403,9,75,1.0217,3.03,-1.25,10.2,2,1.791759469,3
5046,2.218806119,11.1,0.18,-1.82,9.8,0.039,29,113,1.01384,3.11,0.45,10.9,0,1.945910149,1
5051,3.39670136,18.7,0.31,0.51,2.2,-0.245,-90,-7,1.04545,2.19,0.93,9.8,0,2.48490665,3
5054,3.338545868,7,0.77,0.32,-116,-0.27,41,-210,1.00696,2.81,0.37,12.9,0,1.945910149,2
5057,4.539648327,15,0.51,0.2,64.9,0.034,218,117,1.00473,3.62,0.43,10.1,0,1.945910149,3
5062,3.302959515,6.8,-0.92,-1.04,2.8,0.414,40,122,1.05133,3.06,2.91,9.2,0,1.945910149,2
5063,3.382131651,7.3,0.69,1.32,-19.5,0.186,35,104,1.02626,4,0.51,9.2,1,2.079441542,2
5065,2.554298381,6,0.81,1.1,1.6,0.397,155,474,0.95206,3.62,0.32,10.7,0,1.791759469,1
5066,4.069581349,6.5,0.31,-0.54,3.5,0.046,22,147,0.99024,3.15,0.31,6.2,-1,1.945910149,3
5076,1.952398898,0.5,-0.12,0.42,2.8,-0.375,84,137,0.9908,3.27,0.43,11.8,-1,1.945910149,1
5089,2.912773946,-5.1,0.31,0.4,6.2,0.04,-68,208,0.9953,2.92,0.1,6.6,-1,1.945910149,2
5092,2.389141785,6.9,0.3,1.85,10.5,0.637,24,189,0.99362,3.29,0.54,9.9,-2,1.945910149,2
5093,4.561028968,6.5,0.29,0.52,-44,0.213,35,192,0.99551,3.16,0.51,13.5,0,1.945910149,3
5094,4.161616998,18.4,-0.86,1.5,-56.45,0.034,-230,293,0.96214,3.91,0.31,10.8,0,2.197224577,3
5098,3.212564849,18.5,1.13,0.86,2.6,-0.503,33,-1,1.03607,4.15,-0.56,2.2,0,1.945910149,2
5102,3.475155621,14.5,0.17,0.15,35,0.029,242,128,1.03021,3.37,-0.64,10.7,-2,2.079441542,3
5112,4.578277432,7.8,0.15,0.92,1.4,0.056,21,-705,0.9692,2.49,0.53,10.4,1,2.079441542,3
5117,1.892205313,9.6,-0.36,0.38,9.9,0.061,212,33,0.98096,3.73,0.58,17.8,0,2.197224577,1
5127,2.53450726,8.1,1.63,1.46,45.3,0.596,27,364,0.997,3.85,2.54,9.8,0,2.197224577,2
5130,1.883875565,-4.6,0.24,-0.32,13.65,0.036,286,351,0.99097,2.71,0.44,5.25,-1,1.945910149,1
5131,1.176239425,4.1,0.68,1.51,2.2,0.095,21,471,1.04291,3.25,1.69,9.2,-1,2.197224577,1
5132,3.016894667,2.3,0.23,-2.21,-48.1,-0.351,-210,186,0.9991,3.22,1.7,4.2,0,2.079441542,2
5135,2.207548313,-3.7,-0.61,1.42,-8.2,0.038,15,-165,0.96021,4.11,0.75,6.6,0,1.945910149,1
5136,2.07958344,4.3,-0.71,1.5,0.5,0.036,34,134,0.99519,1.93,0.39,5.7,0,2.079441542,1
5147,4.185925823,5.7,0.77,0.14,6.3,-0.471,35,182,1.03872,3.11,-1.08,9.25,1,1.791759469,2
5157,3.342933653,-7.1,-0.06,0.42,48.9,0.044,-66,196,0.99562,3.98,0.48,7.1,0,1.945910149,2
5160,1.430016784,6.8,1.15,-0.12,-125.2,-0.201,13,74,0.9958,4.2,0,12.5,-1,2.079441542,1
5165,2.558525165,6.4,1.57,0.2,6.6,0.054,10,94,1.00156,2.43,0.69,14.8,-1,2.079441542,2
5166,3.163879635,7.3,-0.03,0.31,-57.7,0.04,39,302,1.03273,3.19,0.51,11.4,0,2.079441542,2
5172,1.773495694,6.6,-0.19,2.56,10.6,0.17,151,201,1.09428,2.96,0.38,10.4,-1,1.945910149,1
5173,2.045384083,13.5,0.28,0.35,1.6,0.082,36,114,0.9668,3.56,0.5,5.5,-1,1.791759469,1
5179,2.865293681,8.1,-0.04,0.02,1.7,0.039,16,56,0.9968,3.9,0.03,9.3,0,2.197224577,2
5184,5.037243156,6.8,0.32,0.28,-40.6,-0.544,-203,100,1.00208,3.08,0.47,12.4,1,1.945910149,3
5187,1.388737575,6.9,0.56,0.26,-27.6,0.06,-213,193,0.9969,1.73,0.55,3.2,-1,2.079441542,1
5191,2.567910126,16.6,0.19,0.17,5.1,0.034,306,531,0.9942,2.18,-0.8,16.4,0,1.945910149,1
5193,1.569534695,3.2,0.43,1.82,-28.4,-0.617,-217,552,0.9906,5.36,0.94,12.1,-1,2.079441542,1
5194,2.160960931,-4.2,1.69,-0.67,25.1,-0.44,-191,340,0.99412,3.15,0.49,13.7,0,1.945910149,1
5199,1.601579762,1.3,0.25,0.39,-45.65,-1.093,36,155,1.00576,3.92,2.85,9,-1,2.079441542,1
5212,4.237530503,6.9,-0.59,0.24,-23.5,0.992,-115,499,0.98986,3.26,0.58,10,0,2.079441542,3
5213,2.214266655,6.4,-0.43,0.17,-116.8,0.593,235,161,0.99546,3.02,2.1,10.2,0,1.945910149,1
5224,3.037582177,7.2,0.23,0.39,14.2,0.36,49,-113,1.01247,2.98,0.48,14.4,0,2.079441542,2
5226,3.344536875,8.8,3.61,0.24,2.4,0.067,10,25,0.9969,3.19,0.59,9.5,0,2.302585093,3
5239,4.54615897,17,0.21,-0.68,2,0.344,276,138,0.99176,3.05,0.76,14.9,1,2.197224577,3
